"","Activity","Subject","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()"
"1","LAYING",1,1,1,1,1,0.22159824394,-0.0405139534294,0.002393975758,-0.0408910604706,-0.0093252039692,-0.023365945138,-0.24888179828,0.70554977346,0.58256298342,-0.08459195868,-0.07809749428,-0.20911768088,0.0810865342,0.0038382040088,0.1275149057,-0.04245357008,0.146174602854,-0.022012200614,-0.016553093978,-0.064486124088,0.05831145054,-0.056377897954,0.252542752996,0.04403706094,-0.107270949192,-0.04151728689,-0.112281174518,0.06825486252,0.03545197294,-0.045545088,0.03545197294,-0.045545088,0.231441857202,-0.145789216128,-0.1076311552812,0.00791182656,0.35866792632,-0.290638129368,-0.039707980292,-0.111077069856,-0.9390990524,-0.86706520518,-0.9925845862,-0.9815052856,-0.9415331212,-0.9964246012,-0.9570738838,-0.9224626098,-0.9949763592,-0.9838882006,-0.9922768486,-0.99717988,-0.850249174586,-0.9521914948,-0.99776804,-0.9929034812,-0.733793103,0.08640856294,-0.8355555564,0.26639115416,-0.9487179492,-0.1397750127
"2","LAYING",2,2,1,2,1,0.281373403958333,-0.0181587397583333,-0.124408564166667,0.0398836408333333,-0.199788468904167,-0.248458834006667,-0.509754238125,0.752536639375,0.324092915666667,0.2156080059375,-0.308245417,-0.563200740208333,0.0825972511666667,0.012254788451875,0.288509665814583,-0.14119733744375,0.148400431375,0.00766428163541667,-0.01847660675,-0.111800824583333,0.001166770975,-0.329378660083333,0.326928163091667,-0.2496791615,-0.101974134208333,-0.0358590176083333,-0.0140926961125,0.0899301580375,0.229652255146458,-0.183835888697917,0.229652255146458,-0.183835888697917,0.289650196083333,-0.239683774229167,0.11397808058125,-0.144698463020833,0.472043633541667,-0.444964771666667,-0.0504555534089583,0.00630606409166667,-0.976725059791667,-0.979800877916667,-0.999598569166667,-0.998745637708333,-0.999425172708333,-0.999718574583333,-0.985813630833333,-0.982768250416667,-0.99964381875,-0.99889939875,-0.999685072708333,-0.999754638125,-0.9864311425,-0.983321635416667,-0.99928672625,-0.997873070625,-0.824712643125,0.2662982125,-0.77843915375,0.3417585745,-0.940170940208333,0.01856447223125
"3","LAYING",3,3,1,3,1,0.275516852741935,-0.0189556785048387,-0.124848886590323,-0.0577481457903226,-0.198585718272581,-0.376096497496774,-0.241758478064516,0.837032099677419,0.474481952387097,0.196565364580645,-0.426717395414516,-0.799381606774194,0.0769811125806452,0.0138041011306452,0.203611355753226,-0.163009063285484,0.0577616365080645,-0.115638882836774,-0.0208170540330645,-0.0718507159435484,0.0731154860774194,-0.438123050925323,0.111839253698387,-0.00417894761129032,-0.10004449883871,-0.0389771765322581,0.0852149232,-0.18978188524,0.174463355337097,-0.161597683832258,0.174463355337097,-0.161597683832258,0.212946374112903,-0.181017838380645,-0.0178929888339516,-0.0792573267193548,0.339841036440323,-0.308093996854839,0.0071008754516129,-0.114798246790323,-0.980665609032258,-0.961169982903226,-0.999266868064516,-0.997914822419355,-0.99743164983871,-0.999479265483871,-0.980513202258064,-0.968752113709677,-0.999478368709677,-0.998423517419355,-0.999319594516129,-0.999590742258065,-0.970167262903226,-0.978099682258065,-0.999389571774194,-0.997923514354839,-0.819799777596774,0.236990127870968,-0.833589350064516,0.238611133937097,-0.91315136516129,-0.0229296114693548
"4","LAYING",4,4,1,4,1,0.263559214981481,-0.0150031841055556,-0.10978454942037,-0.0785467826277778,-0.424052053055556,-0.048102286662037,-0.420664662222222,0.915165104259259,0.37328434762963,-0.049016751337037,-0.523924495388889,-0.155121997962963,0.0934494217777778,0.00693313213968519,0.2212660442,-0.00962296554074074,0.153753289624074,0.0909557492907407,-0.00923156347222222,-0.0930128180759259,-0.036035873237537,-0.582708594244444,0.417635467035185,-0.321137959318333,-0.105019877685185,-0.0381230432222222,0.0563616372962963,0.0374708035685185,0.225664213703704,-0.187825586981481,0.225664213703704,-0.187825586981481,0.285750735483333,-0.19462290342963,-0.143510052077778,0.0630894686092593,0.444325116481481,-0.326615636074074,-0.00847718612962963,-0.213939327314815,-0.958802077592593,-0.938883374444444,-0.998975323333333,-0.998511592037037,-0.997571035,-0.999148916851852,-0.978542457407407,-0.943969987222222,-0.999081316296296,-0.998566838333333,-0.99890646462963,-0.999175541296296,-0.967203736481482,-0.972187839074074,-0.999091920555556,-0.997954485185185,-0.904214559074074,0.241697899814815,-0.896531451851852,0.274027349574074,-0.971509972222222,-0.259851969798148
"5","LAYING",5,5,1,5,1,0.278334325576923,-0.0183042123269231,-0.144607961615385,0.000457382499999995,0.0664950957307692,-0.072762798925,-0.483470597692308,0.954890346153846,0.362972744826923,-0.278184209980769,0.0456665299807692,-0.165520042884615,0.0848164824230769,0.00747460829615385,0.194311053321154,0.207180432038462,0.119374220365385,-0.0699166935942308,-0.0218935013501923,-0.0798709596153846,0.122234489403846,-7.98036538461483e-05,-0.192656359384615,-0.125226138282692,-0.102114125,-0.0404446925288462,-0.0208047670384615,0.186354537723077,0.253225107673077,-0.217167056694231,0.253225107673077,-0.217167056694231,0.194610480573077,-0.288201103892308,0.269477339442308,-0.36757839195,0.308693400042308,-0.480574480769231,0.154245411673077,0.0646359207115385,-0.968741678461538,-0.965419520961538,-0.999526600384615,-0.999375838653846,-0.998429909038462,-0.999567811923077,-0.982689657115385,-0.965328566153846,-0.999527136730769,-0.999410398653846,-0.999578456538462,-0.999607090961538,-0.975797491730769,-0.978249645769231,-0.999429206730769,-0.998001368076923,-0.7970822275,0.292032094967308,-0.896214896346154,0.197005001461538,-0.966469428269231,0.102441765923077
"6","LAYING",6,6,1,6,1,0.248656520140351,-0.0102529170561404,-0.199817740242105,0.0112995919789474,-0.262282681940351,-0.129551622545614,-0.47670987877193,0.956593814210526,0.38252847185614,-0.158876822664912,-0.215781423263158,-0.185444729473684,0.0963481955263158,-0.00114529240245614,0.217510003519298,0.128981983408772,-0.0375073017142105,0.0150510981578947,-0.0079605026754386,-0.107218315054386,0.0815910320701754,-0.236676165368421,0.247473111803509,-0.393963659666667,-0.111267284631579,-0.0424104289992982,0.0625225357666667,-0.077293311368421,0.122479570449474,-0.0869375264921053,0.122479570449474,-0.0869375264921053,0.24616438927193,-0.21708692001614,0.16240284377193,-0.203791204850877,0.476822291105263,-0.361552930964912,-0.223555769715789,0.061335456454386,-0.939114254210526,-0.923706791403509,-0.998013590877193,-0.997159346666667,-0.990092911578947,-0.997965739824561,-0.967072436842105,-0.936043420175439,-0.998230438245614,-0.996770289122807,-0.996766259473684,-0.998064996140351,-0.935439769649123,-0.941771544385965,-0.997922461578947,-0.995776578596491,-0.944343617894737,0.1446050868,-0.929267614385965,0.182525077889474,-0.906432748596491,0.119317522942105
"7","LAYING",7,7,1,7,1,0.250176694038462,-0.0204411516884615,-0.166258807869231,0.555107791153846,-0.513112846307692,-0.484447445788462,-0.502814250576923,0.393444278076923,0.298459249576923,0.649906385442308,-0.680264725486538,-0.845483258807692,0.0968904018076923,0.0250624183634615,0.281670211038462,0.0510296841326923,0.0218061691442308,0.028782266425,-0.00282641913096154,-0.133605695057692,0.0994310339423077,-0.733230652667308,0.441502521442308,-0.460553300884615,-0.105944243484615,-0.0358897425826923,0.056037472,-0.110712839038462,-0.0942969299423077,0.0185544810461538,-0.0942969299423077,0.0185544810461538,0.180858724038462,-0.118475522990385,-0.136286639961538,0.0329450083826923,0.379078034096154,-0.361393728057692,-0.029286918475,-0.0157332035769231,-0.953424245576923,-0.942193953846154,-0.998494923653846,-0.993678667307692,-0.994043605961539,-0.999083019807692,-0.980393046923077,-0.972531648846154,-0.9990513225,-0.995971171153846,-0.997521836538461,-0.999253181346154,-0.953684547692308,-0.957570207692308,-0.999123617692308,-0.996245588269231,-0.938992041153846,-0.129091025169231,-0.841880342,0.217605286703846,-0.988165680769231,-0.265784491092308
"8","LAYING",8,8,1,8,1,0.261254282907407,-0.0212281733881481,-0.0505814293425926,0.396656416425926,-0.362212125790741,-0.415233477035185,-0.405930036111111,0.589922434814815,0.410291748848148,0.54239404737037,-0.759515483333333,-0.832324902592593,0.0878326902592593,0.0233299159137037,0.249044879777778,-0.0556026445851852,0.149155145948148,0.0907017957344445,0.00535361206851852,-0.0891374138592593,0.112641351383333,-0.392822978298148,0.229609713888889,-0.0103756182592593,-0.106445008314815,-0.0389735198722222,0.0432544408481481,-0.123302535557593,0.0635689576111111,-0.0866553773388889,0.0635689576111111,-0.0866553773388889,0.270420498444815,-0.16714211737963,0.0291632626462963,-0.115344067389537,0.405049054703704,-0.336594963148148,0.0140915983781481,-0.137744770997407,-0.953538563888889,-0.951816663703704,-0.995145852777778,-0.980337827222222,-0.984383083888889,-0.997362340925926,-0.973110596111111,-0.975877437407407,-0.997984962037037,-0.99354087962963,-0.995705063703704,-0.998547701296296,-0.957903886111111,-0.957411160185185,-0.999401716111111,-0.998116967407407,-0.828863345574074,0.0484988463518519,-0.816578483333333,0.350822601333333,-0.939221273148148,-0.0620563752462963
"9","LAYING",9,9,1,9,1,0.2591955368,-0.020526821662,-0.014595478614,-0.099479739646,-0.393128866154,0.17478719393,-0.5802528348,-0.1191541962,0.37299036396,-0.10907899462,-0.43594731936,0.333730747512,0.08807344764,0.011561732718,0.4450513952,-0.156189530922,0.002637530034,-0.104510308384,-0.013632036148,-0.15890291983,0.06958728596,-0.09610266378,0.1067547568426,-0.019368605526,-0.10384667982,-0.027552256948,0.16552243508,0.05323368221,-0.081433346092,0.02028595766,-0.081433346092,0.02028595766,0.14129288122,-0.03288196062,-0.18732488684,0.057775523608,0.181319834828,-0.128126637064,0.04573994019,-0.24291405214,-0.946865494,-0.9343665984,-0.9984320062,-0.9978004784,-0.9955539652,-0.999015566,-0.964304065,-0.9640828062,-0.998670829,-0.9983176608,-0.9966696298,-0.9990531826,-0.930297921,-0.9345796594,-0.9997052674,-0.9992839106,-0.9213793098,-0.085609052452,-0.9441269842,0.1670029826292,-0.9435897442,-0.20634356866
"10","LAYING",10,10,1,10,1,0.280230574137931,-0.024294484137931,-0.119934528360345,-0.0911137864215517,-0.130919068544828,0.198550505132759,-0.453069737586207,-0.139297681034483,0.293544042381034,-0.0922139738793104,-0.335230738517241,0.267568776551724,0.073815064487931,0.015698997097069,0.234130188550517,-0.0741112610896552,0.160818095720172,0.0537799832775862,-0.019555937162069,-0.0770325657265517,0.200516018467241,-0.0462643436896552,-0.0492621813551724,0.349684613027586,-0.100308254413793,-0.0388797920413793,0.155953848572414,0.0776129487586207,0.195823928034483,-0.177620998294828,0.195823928034483,-0.177620998294828,0.23807395927069,-0.188315551462069,0.200753956931034,-0.190038707448276,0.425603081913793,-0.2040576565,-0.281408750598276,-0.042370714,-0.96918420862069,-0.954341849137931,-0.997528900689655,-0.993128287068965,-0.992501823793103,-0.998379302413793,-0.979014668793104,-0.968039173793103,-0.998938726551724,-0.996393684482759,-0.998385808793103,-0.999083019482759,-0.953793912068965,-0.954670034482759,-0.999483392586207,-0.998311360172414,-0.884661117948276,0.260388946262069,-0.917898193793103,0.212826187810345,-0.885057472068965,0.216535434472414
